molecule_chembl_id,canonical_smiles,compound_classification,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL1684047,CC(N(C)C)C1(c2ccc(Cl)c(Cl)c2)CCCCC1,active,300.27300000000014,5.145400000000005,0.0,1.0,7.823908740944319
CHEMBL1684048,CC(C)CC(N(C)C)C1(c2ccc(Cl)c(Cl)c2)CCCCC1,inactive,342.3540000000002,6.171600000000006,0.0,1.0,5.0
CHEMBL1684050,CC(N)C1(c2ccc3ccccc3c2)CCCCC1,active,253.38899999999992,4.388900000000003,1.0,1.0,6.356547323513812
CHEMBL1684051,CC(N)C1(c2ccc(OC(F)(F)F)cc2)CCCCC1,active,287.32500000000005,4.134300000000003,1.0,2.0,6.958607314841775
CHEMBL1684053,CC(N)C1(c2cccs2)CCCCC1,inactive,209.3579999999999,3.297200000000003,1.0,2.0,5.0
CHEMBL1684054,CC(N)C1(c2ccc(-c3ccccc3)cc2)CCCCC1,active,279.427,4.902700000000004,1.0,1.0,6.585026652029182
CHEMBL1684055,CC(N(C)C)C1(c2ccc3ccccc3c2)CCCCC1,active,281.44300000000004,4.991800000000005,0.0,1.0,9.0
CHEMBL1684042,CC(N)C1(c2ccc(Cl)c(Cl)c2)CCCCC1,active,272.219,4.542500000000003,1.0,1.0,6.3872161432802645
CHEMBL1684042,CC(N)C1(c2ccc(Cl)c(Cl)c2)CCCCC1,active,272.219,4.542500000000003,1.0,1.0,6.086186147616283
CHEMBL1684045,CNC(C)C1(c2ccc(Cl)c(Cl)c2)CCCCC1,active,286.2460000000001,4.803200000000004,1.0,1.0,6.823908740944319
